id;type;source;label;remarks;geom;fk;creator;created;last_editor;last_edited;area;perimeter;length;latitude;longitude
711;cities and towns outside Greater Ouagadougou;Hanna;Rakaye;estimate according to googlemaps;0101000020E6100000484924ED56EFF8BFDEE5A0284DB22740;0;7;2015-07-30 16:08:59.070182+02;7;2015-07-30 16:09:37.044087+02;0;0;0;11.8482449242028;-1.55843250878805
712;cities and towns outside Greater Ouagadougou;Hanna;Péla;estimate according to googlemaps;0101000020E61000002C5F88469F5C02C0771583D612B32A40;0;7;2015-07-30 16:57:14.543752+02;;;0;0;0;13.3497530970587;-2.2952256689422
713;cities and towns outside Greater Ouagadougou;Hanna;Tanguin;Estimation according to google search;0101000020E61000005AC98E6AA0A9F5BFD4006ABFAFA92740;0;7;2015-07-30 17:15:08.639207+02;;;0;0;0;11.8314189736269;-1.35391275047421
228;Locations within Greater Ouagadougou;WASCAL;Tanghin (south of Widi péage);;0101000020E610000083DF2C78AEFFF8BFC826BFD48A412840;;;2014-05-21 13:49:47.74048+02;7;2015-07-30 17:39:19.866289+02;0;0;0;12.1280123217906;-1.56242224639388
714;cities and towns outside Greater Ouagadougou;Hanna;Toécé;estimate according to googlemaps;0101000020E610000001C2108D193AF4BFB14100D64AA92740;0;7;2015-07-30 18:28:46.00362+02;;;0;0;0;11.8306490779222;-1.2641845236177
715;cities and towns outside Greater Ouagadougou;Hanna;Zamdogo;estimate according to googlemaps;0101000020E6100000DF6891D4542900C0A46980AB56292A40;0;7;2015-07-30 18:35:17.804326+02;;;0;0;0;13.080739364076;-2.02018133229022
716;cities and towns outside Greater Ouagadougou;Hanna;Zawara;estimate according to googlemaps;0101000020E61000003B6688C6ECB904C080DA7716C38D2740;0;7;2015-07-31 10:24:23.11106+02;;;0;0;0;11.7768790265375;-2.59078364471205
717;Place in Ouagagadougou;Hanna;ZAD (Ouagadougou);estimate according to googlemaps;0101000020E610000030BB108DA90FF8BFBAC3F3BB71AB2840;0;7;2015-07-31 10:28:06.720762+02;;;0;0;0;12.3348520979942;-1.50382380584388
718;cities and towns outside Greater Ouagadougou;Hanna;Zabré;estimate according to googlemaps;0101000020E61000001D84211AE350E4BF7C4CD4AEDA5C2640;0;7;2015-07-31 10:31:25.977881+02;;;0;0;0;11.1813559183267;-0.634873915707547
719;Place in Ouagagadougou;Hanna;Train station (Ouagadougou);estimate according to googlemaps;0101000020E610000040C510ED736CF8BF2ED0C0B63CBF2840;0;7;2015-07-31 12:03:34.899346+02;7;2015-07-31 12:04:08.724713+02;0;0;0;12.373510085141;-1.52647774318423
93;Locations within Greater Ouagadougou;WASCAL;Kamboinsin;;0101000020E6100000B544B4D58FDDF8BFD58DFB0340E82840;;;2014-05-21 13:49:47.74048+02;7;2015-07-31 14:59:18.055239+02;0;0;0;12.4536133999417;-1.55409224966233
720;Market in Ouaga;WASCAL;Gounghin yaar;;0101000020E61000003AC2108D28BDF8BFA69DD4B132B62840;0;7;2015-08-03 14:20:38.613033+02;;;0;0;0;12.3558555194894;-1.54618125060746
