id;fk;creator;created;last_editor;last_edited;area;perimeter;length;latitude;longitude;geom;fclass_osm;label;source;type;remarks
104;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.9671303;9.6903792;0101000020E610000063ADEB6179612340F7E1C56757DE1740;village;Barambichang;OSM;Settlement;
105;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.8007639;9.9521648;0101000020E610000005CE082582E723400845A973FB331740;village;Baranja;OSM;Settlement;
106;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.4961729;10.7863627;0101000020E6100000A996BE219E9225405BA5AABF14FC1940;village;Barbo;OSM;Settlement;
107;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.722435;10.6195953;0101000020E6100000B8825C983B3D25406BF12900C6E31A40;village;Bebeketti;OSM;Settlement;
108;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.4940581;10.1101508;0101000020E6100000A84187AF65382440AC4BD75DEAF91940;village;Bedomossam;OSM;Settlement;
109;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.883004;9.7603578;0101000020E61000005B84189E4D852340E0F2583332881740;village;Befang;OSM;Settlement;
110;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.5160524;10.0964706;0101000020E61000000E0D309864312440D916540A70101A40;village;Bekadza;OSM;Settlement;
111;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.3226518;10.0046198;0101000020E610000000D4C3865D0224406DFBC33B654A1940;village;Belifang;OSM;Settlement;
112;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.9011505;9.7543674;0101000020E61000004C56A0713C822340A0185932C79A1740;village;Bendi;OSM;Settlement;
113;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.6890507;10.7412642;0101000020E6100000266431FB867B2540C524B78196C11A40;village;Berabe;OSM;Settlement;
114;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.7235124;10.7304571;0101000020E610000013431779FE7525407B00416FE0E41A40;village;Berobi;OSM;Settlement;
115;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.8124581;9.9172093;0101000020E6100000922C16759CD523402F7B2304F53F1740;village;Besi;OSM;Settlement;
116;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.6012279;10.7643123;0101000020E610000070DC18F15387254062C55F49A8671A40;village;Bi;OSM;Settlement;
117;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.926871;10.0833431;0101000020E6100000CCB161F2AB2A24407A71E2AB1DB51B40;village;Biendo;OSM;Settlement;
118;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.9564196;10.6304639;0101000020E6100000039E0F2ACC4225407C03DDA85FD31B40;village;Bogu;OSM;Settlement;
119;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.3421651;10.2592412;0101000020E6100000358D3743BB8424408D542987605E1940;village;Bolem;OSM;Settlement;
120;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.5785545;10.794287;0101000020E6100000A24621C9AC96254085D0419770501A40;village;Bomanso;OSM;Settlement;
121;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.5203819;10.7651686;0101000020E61000002BDAC12DC4872540ACB827FEDE141A40;village;Bomba;OSM;Settlement;
122;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.973734;10.0025616;0101000020E61000006C7308C14F012440580394861AE51740;village;Bome;OSM;Settlement;
123;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.9348261;9.9798038;0101000020E610000038FEFAD7A8F52340F6C99B0D43BD1740;village;Bosa;OSM;Settlement;
124;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.1799758;10.8742722;0101000020E61000009C9A159BA0BF254027497C934BB81840;village;Boshong;OSM;Settlement;
125;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.9686166;9.7659871;0101000020E6100000D6500F762F8823406B73AD07DDDF1740;village;Bosi;OSM;Settlement;
126;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.1145367;10.13515;0101000020E6100000DA1B7C61324524405EC4D21B49751840;village;Bukari;OSM;Settlement;
127;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.905635;9.7309327;0101000020E61000006A2794CF3C762340AC730CC85E9F1740;village;Bulam;OSM;Settlement;
128;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.4345124;10.3388397;0101000020E6100000432CAC657CAD24406DD38ED1F0BC1940;village;Bwabwa;OSM;Settlement;
129;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.5107435;10.784108;0101000020E61000005E10919A769125400C941458000B1A40;village;Bwanmbe;OSM;Settlement;
130;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.3421516;10.4562706;0101000020E6100000AA40D24C9CE92440A71831FD5C5E1940;village;Chang;OSM;Settlement;
131;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.0185951;10.5457714;0101000020E61000002C2F54596F172540A17609980A131840;village;Chingo;OSM;Settlement;
132;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.911435;10.095975;0101000020E61000009A779CA22331244013B875374FA51740;village;Chomba;OSM;Settlement;
